"Chinook Salmon, Kenai River, Oct. 1998"
"total fish length mm =" 775
"fish mass g =" 00
"number of swimbladder chambers=" 1
"x,   z-upper,   z-lower,   width"
"fish body"
         775
      406.000      76.0746     -113.783      262.338
      407.000      76.0746     -113.783      261.080
      408.000      76.0746     -113.783      260.451
      409.000      76.0746     -113.553      260.451
      410.000      76.0746     -113.093      259.350
      411.000      76.0746     -112.863      257.148
      412.000      76.0746     -112.863      256.047
      413.000      76.0746     -112.863      256.047
      414.000      76.0746     -113.093      254.946
      415.000      76.0746     -113.553      252.744
      416.000      76.0746     -113.783      251.093
      417.000      76.0746     -113.783      249.992
      418.000      76.0746     -113.783      249.441
      419.000      75.8732     -113.553      249.441
      420.000      75.4705     -113.093      248.340
      421.000      75.0677     -112.863      246.139
      422.000      74.6650     -112.863      245.038
      423.000      74.4637     -112.863      244.408
      424.000      74.4637     -112.661      242.600
      425.000      74.2623     -112.258      240.870
      426.000      73.8595     -112.057      240.319
      427.000      73.6582     -112.057      239.218
      428.000      73.4568     -112.057      237.016
      429.000      73.0541     -112.057      235.365
      430.000      72.8527     -111.856      234.264
      431.000      72.6514     -111.252      233.163
      432.000      72.2486     -110.648      232.062
      433.000      72.0473     -110.446      230.883
      434.000      71.8459     -110.446      229.624
      435.000      71.4432     -110.446      227.894
      436.000      71.2418     -110.446      225.693
      437.000      71.2418     -110.245      224.592
      438.000      71.2418     -109.842      224.592
      439.000      71.0117     -109.641      223.491
      440.000      70.5514     -109.439      221.289
      441.000      70.1199     -109.037      220.188
      442.000      69.7172     -108.835      220.188
      443.000      69.5158     -108.835      219.637
      444.000      69.5158     -108.835      217.986
      445.000      69.3145     -108.835      216.335
      446.000      68.9118     -108.634      215.784
      447.000      68.5090     -108.231      214.683
      448.000      68.1063     -108.030      211.931
      449.000      67.9049     -107.800      209.729
      450.000      67.7035     -107.339      209.178
      451.000      67.0995     -107.109      209.178
      452.000      66.4954     -106.908      208.549
      453.000      66.2940     -106.505      206.741
      454.000      66.0926     -106.304      205.011
      455.000      65.4886     -106.304      204.460
      456.000      64.8845     -106.102      203.831
      457.000      64.6831     -105.700      202.022
      458.000      64.4530     -105.498      200.292
      459.000      63.9927     -105.498      199.742
      460.000      63.5612     -105.498      199.191
      461.000      63.1585     -105.498      198.090
      462.000      62.7558     -105.498      196.989
      463.000      62.3530     -105.498      195.338
      464.000      61.9503     -105.498      193.687
      465.000      61.5476     -105.498      193.136
      466.000      61.3462     -105.498      192.586
      467.000      61.1448     -105.498      191.485
      468.000      60.7421     -105.498      190.384
      469.000      60.3394     -105.498      188.732
      470.000      59.7353     -105.297      187.081
      471.000      58.9011     -104.894      186.530
      472.000      58.0381     -104.693      185.980
      473.000      57.4052     -104.693      184.879
      474.000      57.0025     -104.693      184.329
      475.000      56.5998     -104.492      183.228
      476.000      56.1970     -104.089      181.026
      477.000      55.5929     -103.887      179.925
      478.000      54.7875     -103.887      179.374
      479.000      54.1834     -103.887      178.273
      480.000      53.7807     -103.887      177.173
      481.000      53.1478     -103.887      175.442
      482.000      52.2848     -103.887      173.634
      483.000      51.6520     -103.887      173.005
      484.000      51.2492     -103.887      173.005
      485.000      50.6451     -103.887      172.376
      486.000      50.0410     -103.686      170.567
      487.000      49.8397     -103.283      168.837
      488.000      49.6383     -103.082      167.736
      489.000      49.0342     -103.082      166.635
      490.000      48.4301     -103.082      166.084
      491.000      48.2288     -103.082      165.534
      492.000      48.0274     -102.852      164.433
      493.000      47.6247     -102.392      162.782
      494.000      47.1932     -102.161      160.580
      495.000      46.7329     -102.161      158.928
      496.000      46.5028     -102.161      157.827
      497.000      46.3014     -102.161      157.277
      498.000      45.8987     -102.161      157.277
      499.000      45.4960     -102.161      156.727
      500.000      44.8919     -102.161      155.626
      501.000      44.0864     -101.960      155.075
      502.000      43.4823     -101.557      155.075
      503.000      43.2809     -101.356      154.446
      504.000      43.0796     -101.356      153.188
      505.000      42.6769     -101.356      152.559
      506.000      42.2741     -101.356      152.559
      507.000      41.8714     -101.356      152.008
      508.000      41.6700     -101.356      150.357
      509.000      41.6700     -101.356      148.705
      510.000      41.4399     -101.155      147.604
      511.000      40.9796     -100.752      146.504
      512.000      40.5482     -100.551      145.953
      513.000      40.1454     -100.752      144.852
      514.000      39.9441     -101.155      142.650
      515.000      39.9441     -101.356      141.549
      516.000      39.9441     -101.356      141.549
      517.000      39.7427     -101.155      141.549
      518.000      39.3400     -100.752      141.549
      519.000      38.9373     -100.752      141.549
      520.000      38.5345     -101.155      141.549
      521.000      38.3332     -101.356      141.549
      522.000      38.3332     -101.356      140.999
      523.000      38.3332     -101.356      139.898
      524.000      38.1318     -101.155      138.797
      525.000      37.7291     -100.752      137.696
      526.000      37.5277     -100.551      136.595
      527.000      37.5277     -100.551      135.494
      528.000      37.3263     -100.551      134.944
      529.000      36.9236     -100.551      134.944
      530.000      36.7222     -100.551      134.393
      531.000      36.7222     -100.551      132.742
      532.000      36.7222     -100.551      131.090
      533.000      36.7222     -100.551      130.540
      534.000      36.7222     -100.551      130.540
      535.000      36.5209     -100.551      130.540
      536.000      36.1181     -100.551      129.989
      537.000      35.9168     -100.551      128.888
      538.000      35.9168     -100.551      128.338
      539.000      35.7154     -100.752      127.709
      540.000      35.3127     -101.155      126.451
      541.000      35.1113     -101.356      124.642
      542.000      35.1113     -101.356      122.283
      543.000      35.1113     -101.356      121.103
      544.000      35.1113     -101.356      120.002
      545.000      35.1113     -101.356      117.800
      546.000      34.8812     -101.356      116.700
      547.000      34.4209     -101.557      116.700
      548.000      33.9894     -101.960      116.700
      549.000      33.5867     -102.161      115.599
      550.000      33.3853     -102.161      113.397
      551.000      33.3853     -102.161      112.296
      552.000      33.3853     -102.363      112.296
      553.000      33.3853     -102.766      112.296
      554.000      33.3853     -102.967      112.296
      555.000      33.3853     -103.197      111.745
      556.000      33.3853     -103.657      110.644
      557.000      33.1840     -103.887      110.094
      558.000      32.7813     -104.089      110.094
      559.000      32.3785     -104.492      109.543
      560.000      31.9758     -104.693      108.442
      561.000      31.7744     -104.693      107.892
      562.000      31.7744     -104.693      107.892
      563.000      31.7744     -104.894      107.892
      564.000      31.5731     -105.297      107.342
      565.000      31.1703     -105.498      106.241
      566.000      30.9690     -105.498      105.690
      567.000      30.7676     -105.498      105.140
      568.000      30.3649     -105.700      104.039
      569.000      30.1635     -106.102      103.488
      570.000      30.1635     -106.304      102.859
      571.000      30.1635     -106.304      101.601
      572.000      29.9622     -106.505      100.421
      573.000      29.5594     -106.908      99.3204
      574.000      29.3581     -107.109      98.7700
      575.000      29.3581     -107.109      98.2195
      576.000      29.1279     -107.109      97.1185
      577.000      28.6677     -107.311      96.5681
      578.000      28.4375     -107.713      96.0176
      579.000      28.4375     -107.915      94.9166
      580.000      28.2362     -107.915      94.3662
      581.000      27.8334     -107.915      94.3662
      582.000      27.6321     -107.915      93.8157
      583.000      27.6321     -107.915      92.7148
      584.000      27.4307     -107.915      92.1643
      585.000      27.0280     -107.915      91.6138
      586.000      26.8266     -107.915      90.5129
      587.000      26.8266     -107.915      89.9624
      588.000      26.8266     -107.915      89.9624
      589.000      26.8266     -107.915      89.9624
      590.000      26.8266     -107.915      89.9624
      591.000      26.8266     -107.915      89.9624
      592.000      26.8266     -107.915      89.9624
      593.000      26.8266     -107.915      89.4120
      594.000      26.8266     -107.915      88.3110
      595.000      26.8266     -107.915      87.7606
      596.000      26.8266     -107.512      87.2101
      597.000      26.8266     -106.707      86.1092
      598.000      26.8266     -106.304      85.0083
      599.000      26.8266     -106.304      83.9073
      600.000      26.8266     -106.304      83.3568
      601.000      26.8266     -106.102      83.3568
      602.000      26.8266     -105.700      83.3568
      603.000      26.8266     -105.297      83.3568
      604.000      26.8266     -104.894      82.7277
      605.000      26.6253     -104.693      81.4695
